row_id,split,case_family_id,scenario_family,message,current_state,has_active_task,active_intent,active_domain,pending_slot,suspended_task_count,control_result,slot_match,slot_match_type,slot_value_type,explicit_switch_signal,has_business_object,setfit_top1_label,setfit_top1_score,setfit_top2_label,setfit_top2_score,setfit_margin,setfit_low_conf,setfit_ambiguous,llm_review_expected,target_decision,target_intent,target_domain,target_risk_level,target_priority,feature_source,sample_weight,notes
1,train,COLLECTING_SWITCH_IMPLICIT:13387,COLLECTING_SWITCH_IMPLICIT,能开专票吗,COLLECTING,True,LOGISTICS.TRACK,LOGISTICS,customer_phone_or_order_id,1,NONE,False,NONE,NONE,False,True,PAYMENT.INVOICE,0.6538,LOGISTICS.TRACK,0.5981,0.0557,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
2,train,AMBIGUOUS_PAIR:18535,AMBIGUOUS_PAIR,我不想要了,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,ORDER.CANCEL,0.5936,AFTERSALE.REFUND,0.5818,0.0118,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
3,test,COLLECTING_SWITCH_EXPLICIT:97204,COLLECTING_SWITCH_EXPLICIT,另外，这单要增值税发票,COLLECTING,True,ORDER.CHANGE_ADDRESS,ORDER,new_address,2,NONE,False,NONE,NONE,True,True,PAYMENT.INVOICE,0.9091,ORDER.CHANGE_ADDRESS,0.1421,0.767,False,False,False,SWITCH_NEW,PAYMENT.INVOICE,PAYMENT,L3,60,SYNTHETIC_SIMULATED,1.0,
4,train,CONFIRMING_BUSINESS_SWITCH:51593,CONFIRMING_BUSINESS_SWITCH,暂时不要，物流信息查一下,CONFIRMING,True,ORDER.CHANGE_ADDRESS,ORDER,,1,NONE,False,NONE,NONE,True,True,LOGISTICS.TRACK,0.8135,ORDER.CHANGE_ADDRESS,0.0375,0.776,False,False,False,SWITCH_NEW,LOGISTICS.TRACK,LOGISTICS,L1,70,SYNTHETIC_SIMULATED,1.5,
5,train,AMBIGUOUS_PAIR:80684,AMBIGUOUS_PAIR,退货政策是什么,COLLECTING,True,AFTERSALE.RETURN,AFTERSALE,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,True,AFTERSALE.RETURN,0.5564,FAQ.GENERAL,0.4721,0.0843,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
6,train,IDLE_CLEAR_INTENT:79909,IDLE_CLEAR_INTENT,请问价格还能便宜吗,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,PRODUCT.ASK_PRICE,0.8452,PROMOTION.COUPON,0.0217,0.8235,False,False,False,ACCEPT_NEW_INTENT,PRODUCT.ASK_PRICE,PRODUCT,L0,70,SYNTHETIC_SIMULATED,1.0,
7,train,OOS_UNKNOWN:94740,OOS_UNKNOWN,asdfghjkl,COLLECTING,True,LOGISTICS.DELIVERY_TIME,LOGISTICS,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,False,META.UNKNOWN,0.4783,PRODUCT.COMPARE,0.431,0.0473,True,True,True,ASK_CLARIFICATION,,,,,SYNTHETIC_SIMULATED,1.0,有 active_task 但无续接证据时不得污染槽位
8,train,CONFIRMING_DENY:84215,CONFIRMING_DENY,不对,CONFIRMING,True,AFTERSALE.REFUND,AFTERSALE,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,AFTERSALE.REFUND,0.3008,AFTERSALE.RETURN,0.2711,0.0297,True,True,False,DENY_CURRENT,AFTERSALE.REFUND,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,否认当前确认门，不等于 ORDER.CANCEL
9,validation,AMBIGUOUS_PAIR:55087,AMBIGUOUS_PAIR,货到哪了还没发,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,LOGISTICS.DELIVERY_TIME,0.6953,LOGISTICS.TRACK,0.6464,0.0489,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
10,train,COLLECTING_SWITCH_IMPLICIT:76056,COLLECTING_SWITCH_IMPLICIT,现在能拍吗,COLLECTING,True,ORDER.QUERY_STATUS,ORDER,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,True,PRODUCT.ASK_STOCK,0.5965,ORDER.QUERY_STATUS,0.5584,0.0381,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
