id,text,conversation_mode,split,source,source_intent,base_id,generation_family,label_source,review_status,note
mode_v1_00001,买的数量要改哈,TASK_ONLY,train,intent_train_v42_project,ORDER.CHANGE_ADDRESS,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00002,咨询一下我要买三个格力笔记本哈,TASK_ONLY,train,intent_train_v42_project,ORDER.CREATE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00003,想问一下你们退换货有什么规定呢,TASK_ONLY,train,intent_train_v42_project,FAQ.GENERAL,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00004,这个有没有优惠价帮我看下,TASK_ONLY,train,intent_train_v42_project,PRODUCT.ASK_PRICE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00005,咨询一下我要找人工客服急,TASK_ONLY,train,intent_train_v42_project,META.TRANSFER_HUMAN,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00006,麻烦问下我想买三星微波炉,TASK_ONLY,train,intent_train_v42_project,ORDER.CREATE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00007,钱扣了订单没生成谢谢,TASK_ONLY,train,intent_train_v42_project,PAYMENT.ISSUE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00008,你好，人为损坏保修吗麻烦了,TASK_ONLY,train,intent_train_v42_project,AFTERSALE.REPAIR,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00009,打扰了我要找人工客服谢谢,TASK_ONLY,train,intent_train_v42_project,META.TRANSFER_HUMAN,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00010,亲推荐一款风扇,TASK_ONLY,train,intent_train_v42_project,PRODUCT.RECOMMEND,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00011,麻烦问下，推荐一款床垫哈,TASK_ONLY,train,intent_train_v42_project,PRODUCT.RECOMMEND,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00012,快递显示签收但我没收到急,TASK_ONLY,train,intent_train_v42_project,LOGISTICS.TRACK,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00013,你好，帮我查一下订单可以吗,TASK_ONLY,train,intent_train_v42_project,ORDER.QUERY_STATUS,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00014,那个付款页面打不开谢谢,TASK_ONLY,train,intent_train_v42_project,PAYMENT.METHOD,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00015,深圳多久到货！！！可以吗,TASK_ONLY,train,intent_train_v42_project,LOGISTICS.DELIVERY_TIME,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00016,我要改成公司地址麻烦了,TASK_ONLY,train,intent_train_v42_project,ORDER.CHANGE_ADDRESS,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00017,请问颜色和图片一样吗可以吗,TASK_ONLY,train,intent_train_v42_project,PRODUCT.ASK_INFO,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00018,麻烦问下可以开发票吗谢谢,TASK_ONLY,train,intent_train_v42_project,PAYMENT.INVOICE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00019,请问仓库还有吗帮我看下,TASK_ONLY,train,intent_train_v42_project,PRODUCT.ASK_STOCK,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00020,想问一下怎么申请维修,TASK_ONLY,train,intent_train_v42_project,AFTERSALE.REPAIR,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00021,想问一下要开增值税发票,TASK_ONLY,train,intent_train_v42_project,PAYMENT.INVOICE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00022,请问，在哪里下单,TASK_ONLY,train,intent_train_v42_project,ORDER.CREATE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00023,这个怎么买,TASK_ONLY,train,intent_train_v42_project,ORDER.CREATE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00024,客服你好钱扣了订单没生成谢谢哈,TASK_ONLY,train,intent_train_v42_project,PAYMENT.ISSUE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00025,在哪里下单谢谢,TASK_ONLY,train,intent_train_v42_project,ORDER.CREATE,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00026,请问咖啡机还有库存吗急,TASK_ONLY,train,intent_train_v42_project,PRODUCT.ASK_STOCK,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00027,售后流程发我？谢谢,TASK_ONLY,train,intent_train_v42_project,AFTERSALE.REPAIR,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00028,那个退换货的条件是什么谢谢,TASK_ONLY,train,intent_train_v42_project,FAQ.GENERAL,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00029,在吗有没有满减券哈,TASK_ONLY,train,intent_train_v42_project,PROMOTION.COUPON,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00030,请问松下台灯出问题了急,TASK_ONLY,train,intent_train_v42_project,AFTERSALE.REPAIR,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00031,地址写错了能改吗哈,TASK_ONLY,train,intent_train_v42_project,ORDER.CHANGE_ADDRESS,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00032,不想要了能取消吗,TASK_ONLY,train,intent_train_v42_project,ORDER.CANCEL,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00033,亲能对公转账吗一下,TASK_ONLY,train,intent_train_v42_project,PAYMENT.METHOD,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
mode_v1_00034,你好转人工客服麻烦了,TASK_ONLY,train,intent_train_v42_project,META.TRANSFER_HUMAN,,existing_business_example,intent_mapping,weak_label_needs_sample_audit,业务意图样本；Mode Gate 只判断是否进入业务链路。
